company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Seaman Tours,United Arab Emirates,Dubai,info@seamantours.com,https://seamantours.com,https://seamantours.com/tour/almaty-package-4days/,GCC-Almaty,A,Active Almaty 3N4D from Dubai; email on contact page; groups/FIT packages
Neo Travels,United Arab Emirates,Dubai,sales@neotravels.ae,https://neotravels.ae,https://neotravels.ae/kazakhstan-tour-packages-from-dubai/,GCC-Almaty,A,KZ packages from Dubai; sales@ on contact + product pages; Pluto Travels group
Desert Wave Tours,United Arab Emirates,Dubai,info@desertwavetours.com,https://desertwavetours.com,https://desertwavetours.com/tours/almaty-tour-package-from-uae/,GCC-Almaty,A,Almaty package from UAE; email on product FAQ; UAE+KSA branches
REDS Travel & Tourism,United Arab Emirates,Dubai,info@redstravel.ae,https://redstravel.com,https://redstravel.com/destinations/kazakhstan,GCC-Almaty,A,Custom KZ holidays from Dubai for families/groups; email on destination page
Aida Travels,United Arab Emirates,Abu Dhabi,holidays@aidatravels.ae,https://aidatravels.ae,https://aidatravels.ae/holidays/almaty-holiday-package/,GCC-Almaty,A,Almaty holiday package; holidays@ desk on product page
Farhat International Tours,Bahrain,Manama,info@farhattravel.com,https://farhattravel.com,https://farhattravel.com/trip/almaty-kazakhstan-package/,GCC-Almaty,A,6D Almaty package; email on contact; alt travel@farhattravel.com on FAQ
Target Travel Qatar,Qatar,Doha,holidays@targettravelsqatar.com,https://targettravelsqatar.com,https://targettravelsqatar.com/contact-us/,GCC-Almaty,A,Almaty escape package; holidays@ + info@ on contact; prefer holidays desk
Desert Discovery Oman,Oman,Muscat,info@desertdiscovery.om,https://desertdiscovery.om,https://desertdiscovery.om/st_tour/5-days-4-nights-almaty-kazakhstan/,GCC-Almaty,A,5D4N Almaty tour; email on contact + product
Satguru Travel Oman,Oman,Muscat,holidays.oman@satgurutravel.com,https://satgurutravel.com.om,https://satgurutravel.com.om/contact/,GCC-Almaty,A,Almaty group tour product; holidays.oman@ on contact
Fayyaz Travels,Singapore,Singapore,info@fayyaztravels.com,https://fayyaztravels.com,https://fayyaztravels.com/company-overview/,SG-CA,A,STB TA03463; active KZ/KG/UZ packages incl 16D 4-Stans; email on company overview
Wisata Halal Indonesia,Indonesia,Tangerang Selatan,admin@wisatahalalindonesia.id,https://wisatahalalindonesia.id,https://wisatahalalindonesia.id/product/kazakhstan-kyrgyzstan,Halal-KZ,A,Halal KZ+KG open trip; admin@ on site footer; IATA 15339564
Samaara Travel,India,India,support@samaaratravel.com,https://www.samaaratravel.com,https://www.samaaratravel.com/,India-Almaty,A,Fixed departure Almaty 4N/5D + Almaty&Baku; support@ on site; group reviews
Southern Travels,India,New Delhi,tours@southerntravels.com,https://www.southerntravelsindia.com,https://www.southerntravelsindia.com/internationaltours-almaty-unforgettablealmaty_478,India-Almaty,A,Fixed Almaty packages with tour manager; tours@ + enquiry@ on site
Gruppal,Turkey,Istanbul,destek@gruppal.com,https://www.gruppal.com,https://www.gruppal.com/iletisim,TR-OrtaAsya,A,Orta Asya Saheserleri / Silk Road with Almaty; destek@ on iletisim
Trendgezi,Turkey,Ankara,info@trendgezi.com.tr,https://trendgezi.com.tr,https://trendgezi.com.tr/tur-156-kazakistan-kirgizistan-ozbekistan-turu-ipek-yolu-rotasi.html,TR-OrtaAsya,A,KZ+KG+UZ Ipek Yolu group tour with Almaata segment; email on tour page
Atmaca Turizm,Turkey,Ankara,info@atmacaturizm.com,https://www.atmacaturizm.com,https://www.atmacaturizm.com/iletisim,TR-OrtaAsya,A,KZ+UZ 6N7D Ipek Yolu; TURSAB A-10392; email on iletisim
Russian Information Center India,India,India,russinfo.india@gmail.com,https://www.russinfo.in,https://www.russinfo.in/russia-tour-packages/,India-CIS,B,Classic Almaty + Charyn group packages from India; email on packages page
Russia Konnect,India,India,russiakonnect@gmail.com,https://russiakonnect.com,https://russiakonnect.com/russia-tour-packages/,India-CIS,B,Almaty fixed departures / CIS groups from India; email on packages page
